,I1_low_value,iHigh,V1_low_value,V2_low_value,V_high_filt,duty_cycle,power_p,power_q,Vq_net,Vnet,Vond,Id,Iq,Ialpha,Ibeta,Vd_ond,Vq_ond
910,0.5663256645202637,0.16769644618034363,23.988237380981445,15.270020484924316,39.47610092163086,0.638867974281311,-0.5274936556816101,-9.205038070678711,0.0026580358389765024,13.877373695373535,11.109435081481934,-0.05877681076526642,1.0230401754379272,0.579922616481781,0.8448604345321655,1.6381051540374756,16.029415130615234
911,0.439407080411911,0.11528005450963974,23.44700813293457,15.631559371948242,39.47642517089844,0.6245241165161133,-0.9043564796447754,-9.826945304870605,0.002366351895034313,14.894527435302734,9.96192741394043,-0.10065007954835892,1.0921131372451782,0.4994089603424072,0.9764399528503418,1.638310432434082,16.02935218811035
912,0.4118160903453827,0.15197153389453888,23.13129234313965,16.17386817932129,39.4770393371582,0.6090714335441589,-0.4502219557762146,-9.13971996307373,0.0017930943286046386,15.77971363067627,8.725714683532715,-0.05013640224933624,1.0157333612442017,0.41570061445236206,0.928146243095398,1.6384676694869995,16.02936553955078
913,0.32904309034347534,0.17817974090576172,22.63516616821289,16.580598831176758,39.47758483886719,0.5926528573036194,-0.40928590297698975,-9.144221305847168,0.0012467500055208802,16.52456283569336,7.412227630615234,-0.04555526748299599,1.0162148475646973,0.33093518018722534,0.9619174003601074,1.638592004776001,16.02947998046875
914,0.246270090341568,0.13100497424602509,22.184141159057617,16.987329483032227,39.47774124145508,0.5754131078720093,-0.34768053889274597,-9.134639739990234,0.0006619348423555493,17.12273597717285,6.033050537109375,-0.038674626499414444,1.0151194334030151,0.24523437023162842,0.9858130812644958,1.6386677026748657,16.029674530029297
915,0.1690152883529663,0.05762201547622681,21.68801498413086,17.529638290405273,39.47849655151367,0.5575019121170044,-0.24425935745239258,-9.066290855407715,-4.77233697893098e-05,17.56919288635254,4.600154876708984,-0.02714153751730919,1.0075246095657349,0.16128447651863098,0.9949178695678711,1.6386919021606445,16.03004264831543
916,0.0807240903377533,0.11003841459751129,21.1016845703125,18.11713981628418,39.47883605957031,0.539081335067749,-0.19984418153762817,-9.061079978942871,-0.0005259828758426011,17.859500885009766,3.1265060901641846,-0.022178908810019493,1.0069427490234375,0.07182423770427704,1.004640817642212,1.6387605667114258,16.030229568481445
917,0.025542087852954865,0.06286365538835526,20.560455322265625,18.47867774963379,39.47962188720703,0.5203143954277039,-0.13158196210861206,-8.583291053771973,-0.0007810984971001744,17.99118423461914,1.625151515007019,-0.014580861665308475,0.9538328051567078,-0.015393683686852455,0.9538246989250183,1.6388195753097534,16.030561447143555
918,0.031060287728905678,-3.602355718612671e-05,20.199636459350586,19.15656280517578,39.47984313964844,0.5013659596443176,-0.1598009616136551,-7.302803993225098,-0.0014000183437019587,17.963455200195312,0.10927741229534149,-0.01769520528614521,0.811546266078949,-0.09467458724975586,0.8062108159065247,1.6388853788375854,16.031265258789062
919,-0.15655851364135742,0.031413815915584564,19.477998733520508,19.834447860717773,39.48024368286133,0.4824051260948181,0.0006696489290334284,-8.777368545532227,-0.0016430438263341784,17.77617645263672,-1.4075891971588135,0.00016346790653187782,0.9754186272621155,-0.18342325091362,0.9580358266830444,1.6388975381851196,16.031435012817383
920,-0.15104031562805176,-0.010519303381443024,18.89166831970215,20.42194938659668,39.48087692260742,0.4635995924472809,-0.27259156107902527,-7.517765522003174,-0.0013446744997054338,17.430910110473633,-2.9120335578918457,-0.030230015516281128,0.8354332447052002,-0.2627701163291931,0.7936148643493652,1.6389961242675781,16.03201675415039
921,-0.31658631563186646,0.04713873565196991,18.440643310546875,21.099834442138672,39.48078536987305,0.44511649012565613,0.06956499069929123,-8.665558815002441,-0.001760450191795826,16.931196212768555,-4.390679836273193,0.00782492384314537,0.9629987478256226,-0.3479714095592499,0.8979794979095459,1.6389609575271606,16.032190322875977
922,-0.42143210768699646,0.05762201547622681,17.854312896728516,21.5517578125,39.48078155517578,0.427120566368103,0.22723117470741272,-8.954719543457031,-0.001939942711032927,16.281198501586914,-5.830356121063232,0.025359824299812317,0.9951491355895996,-0.4299302101135254,0.8978652358055115,1.6389305591583252,16.032390594482422
923,-0.4655776917934418,0.04189709573984146,17.177778244018555,22.184452056884766,39.48093032836914,0.40977030992507935,-0.08747139573097229,-8.452573776245117,-0.0013781340094283223,15.486405372619629,-7.218376159667969,-0.00964872632175684,0.9393314123153687,-0.5121016502380371,0.7875308990478516,1.6388390064239502,16.032440185546875
924,-0.6035326719284058,0.10479677468538284,16.72675323486328,22.545989990234375,39.48023986816406,0.3932216167449951,0.35529056191444397,-9.158682823181152,-0.0015847490867599845,14.554397583007812,-8.542271614074707,0.039573680609464645,1.0178167819976807,-0.5932199358940125,0.8280277848243713,1.6386420726776123,16.03232765197754
925,-0.6421601176261902,0.13624662160873413,16.18552589416504,23.043106079101562,39.480098724365234,0.37762126326560974,0.08395451307296753,-8.773547172546387,-0.0016049458645284176,13.493279457092285,-9.790298461914062,0.00941717904061079,0.975040853023529,-0.6611695289611816,0.7167174816131592,1.6386828422546387,16.03252601623535
926,-0.6587147116661072,0.18342137336730957,15.734501838684082,23.49502944946289,39.47942352294922,0.36310476064682007,-0.42780905961990356,-8.286233901977539,-0.001123696332797408,12.312084197998047,-10.951618194580078,-0.04748585820198059,0.920870304107666,-0.7226085066795349,0.5728116035461426,1.6387553215026855,16.032743453979492
927,-0.7690786719322205,0.18866300582885742,15.283477783203125,23.766183853149414,39.47895431518555,0.349803626537323,0.04348286986351013,-8.771269798278809,-0.001071927254088223,11.021804809570312,-12.01570987701416,0.004890468902885914,0.974782407283783,-0.7861883640289307,0.5763241052627563,1.638512372970581,16.032672882080078
928,-0.8573698997497559,0.21487121284008026,14.787351608276367,24.489261627197266,39.4783935546875,0.3378375470638275,0.3994843363761902,-9.039976119995117,-0.001001363038085401,9.633809089660645,-12.972996711730957,0.04445328935980797,1.0046709775924683,-0.8425652384757996,0.5490549802780151,1.6382759809494019,16.032623291015625
929,-0.8794426918029785,0.3406705856323242,14.471634864807129,24.579647064208984,39.4778938293457,0.3273082971572876,0.07571420818567276,-8.853009223937988,-0.0005764747620560229,8.16002368927002,-13.815336227416992,0.008445982821285725,0.9838750958442688,-0.8869717121124268,0.4258963465690613,1.638230800628662,16.032691955566406
